period;format;download_path;download_mode;path;inputs_folder;data_folder;missing_symbols;ft_aluguel_estimado;ft_caderneta_despesa;ft_condicoes_de_vida;ft_consumo;ft_despesa_12meses;ft_despesa_90dias;ft_despesa_individual;ft_despesa_veiculo;ft_domicilio;ft_inventario;ft_morador_imput;ft_morador;ft_outras_despesas;ft_outros_rendimentos;ft_rendimentos;ft_servico_domestico;ft_despesa_esp
2008;fwf;ftp://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2008_2009/Microdados/;ftp;Microdados;documentacao/documentacao;Dados;NA;LEITURA (INPUT) dos Registros.txt&T_ALUGUEL_ESTIMADO_S.txt;LEITURA (INPUT) dos Registros.txt&T_CADERNETA_DESPESA_S.txt;LEITURA (INPUT) dos Registros.txt&T_CONDICOES_DE_VIDA_S.txt;LEITURA (INPUT) dos Registros.txt&T_CONSUMO_S.txt;LEITURA (INPUT) dos Registros.txt&T_DESPESA_12MESES_S.txt;LEITURA (INPUT) dos Registros.txt&T_DESPESA_90DIAS_S.txt;LEITURA (INPUT) dos Registros.txt&T_DESPESA_INDIVIDUAL_S.txt;LEITURA (INPUT) dos Registros.txt&T_DESPESAS_VEICULO_S.txt;LEITURA (INPUT) dos Registros.txt&T_DOMICILIO_S.txt;LEITURA (INPUT) dos Registros.txt&T_INVENTARIO_S.txt;LEITURA (INPUT) dos Registros.txt&T_MORADOR_IMPUT_S.txt;LEITURA (INPUT) dos Registros.txt&T_MORADOR_S.txt;LEITURA (INPUT) dos Registros.txt&T_OUTRAS_DESP_S.txt;LEITURA (INPUT) dos Registros.txt&T_OUTROS_RECI_S.txt;LEITURA (INPUT) dos Registros.txt&T_RENDIMENTOS_S.txt;LEITURA (INPUT) dos Registros.txt&T_SERVICO_DOMS_S.txt;NA
2002;fwf;ftp://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2002_2003/Microdados/;ftp;Microdados;Documentacao;Dados;NA;NA;LEITURA(IMPUT)dosRegistros.txt&T_CADERNETA_DESPESA.txt;LEITURA(IMPUT)dosRegistros.txt&T_CONDICOES_DE_VIDA.txt;NA;LEITURA(IMPUT)dosRegistros.txt&T_DESPESA_12MESES.txt;LEITURA(IMPUT)dosRegistros.txt&T_DESPESA_90DIAS.txt;LEITURA(IMPUT)dosRegistros.txt&T_DESPESA.txt;LEITURA(IMPUT)dosRegistros.txt&T_DESPESAS_VEICULO.txt;LEITURA(IMPUT)dosRegistros.txt&T_DOMICILIO.txt;LEITURA(IMPUT)dosRegistros.txt&T_INVENTARIO.txt;NA;LEITURA(IMPUT)dosRegistros.txt&T_MORADOR.txt;LEITURA(IMPUT)dosRegistros.txt&T_OUTRAS_DESP.txt;LEITURA(IMPUT)dosRegistros.txt&T_OUTROS_RECI.txt;LEITURA(IMPUT)dosRegistros.txt&T_RENDIMENTOS.txt;LEITURA(IMPUT)dosRegistros.txt&T_SERVICO_DOMS.txt;LEITURA(IMPUT)dosRegistros.txt&T_DESPESA_ESP.txt
