period;format;download_path;download_mode;path;missing_symbols;inputs_folder;data_folder;ft_CAGED
2010-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_062010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062010;";&CAGEDEST_062010.txt"
2010-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_072010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072010;";&CAGEDEST_072010.txt"
2010-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_082010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082010;";&CAGEDEST_082010.txt"
2010-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_092010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092010;";&CAGEDEST_092010.txt"
2010-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_102010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102010;";&CAGEDEST_102010.txt"
2010-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_112010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112010;";&CAGEDEST_112010.txt"
2010-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_122010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122010;";&CAGEDEST_122010.txt"
2011-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_012011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012011;";&CAGEDEST_012011.txt"
2011-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_022011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022011;";&CAGEDEST_022011.txt"
2011-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_032011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032011;";&CAGEDEST_032011.txt"
2011-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_042011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042011;";&CAGEDEST_042011.txt"
2011-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_052011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052011;";&CAGEDEST_052011.txt"
2011-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_062011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062011;";&CAGEDEST_062011.txt"
2011-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_072011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072011;";&CAGEDEST_072011.txt"
2011-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_082011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082011;";&CAGEDEST_082011.txt"
2011-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_092011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092011;";&CAGEDEST_092011.txt"
2011-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_102011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102011;";&CAGEDEST_102011.txt"
2011-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_112011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112011;";&CAGEDEST_112011.txt"
2011-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2011/CAGEDEST_122011.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122011;";&CAGEDEST_122011.txt"
2012-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_012012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012012;";&CAGEDEST_012012.txt"
2012-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_022012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022012;";&CAGEDEST_022012.txt"
2012-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_032012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032012;";&CAGEDEST_032012.txt"
2012-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_042012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042012;";&CAGEDEST_042012.txt"
2012-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_052012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052012;";&CAGEDEST_052012.txt"
2012-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_062012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062012;";&CAGEDEST_062012.txt"
2012-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_072012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072012;";&CAGEDEST_072012.txt"
2012-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_082012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082012;";&CAGEDEST_082012.txt"
2012-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_092012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092012;";&CAGEDEST_092012.txt"
2012-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_102012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102012;";&CAGEDEST_102012.txt"
2012-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_112012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112012;";&CAGEDEST_112012.txt"
2012-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2012/CAGEDEST_122012.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122012;";&CAGEDEST_122012.txt"
2013-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_012013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012013;";&CAGEDEST_012013.txt"
2013-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_022013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022013;";&CAGEDEST_022013.txt"
2013-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_032013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032013;";&CAGEDEST_032013.txt"
2013-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_042013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042013;";&CAGEDEST_042013.txt"
2013-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_052013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052013;";&CAGEDEST_052013.txt"
2013-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_062013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062013;";&CAGEDEST_062013.txt"
2013-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_072013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072013;";&CAGEDEST_072013.txt"
2013-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_082013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082013;";&CAGEDEST_082013.txt"
2013-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_092013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092013;";&CAGEDEST_092013.txt"
2013-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_102013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102013;";&CAGEDEST_102013.txt"
2013-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_112013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112013;";&CAGEDEST_112013.txt"
2013-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2013/CAGEDEST_122013.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122013;";&CAGEDEST_122013.txt"
