period;format;download_path;download_mode;path;missing_symbols;inputs_folder;data_folder;ft_CAGED
2017-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_022017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022017;";&CAGEDEST_022017.txt"
2017-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_032017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032017;";&CAGEDEST_032017.txt"
2017-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_042017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042017;";&CAGEDEST_042017.txt"
2017-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_052017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052017;";&CAGEDEST_052017.txt"
2017-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_062017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062017;";&CAGEDEST_062017.txt"
2017-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_072017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072017;";&CAGEDEST_072017.txt"
2017-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_082017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082017;";&CAGEDEST_082017.txt"
2017-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_092017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092017;";&CAGEDEST_092017.txt"
2017-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_102017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102017;";&CAGEDEST_102017.txt"
2017-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_112017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112017;";&CAGEDEST_112017.txt"
2017-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2017/CAGEDEST_122017.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122017;";&CAGEDEST_122017.txt"
