period;download_path;format;path;inputs_folder;data_folder;missing_symbols;ft_domicilios;ft_pessoas;ft_mortalidade;ft_emigracao
2000;NA;fwf;NA;NA;NA;NA;INPUT_SAS_DOM.txt&Dom[0-9]{2}.txt;INPUT_SAS_PESSOAS.txt&Pes[0-9]{2}.txt;;
2010;NA;fwf;NA;NA;NA;NA;NA&Amostra_Domicilios_[0-9]{2}.*?txt;NA&Amostra_Pessoas_[0-9]{2}.*?txt;NA&Amostra_Mortalidade_[0-9]{2}.*?txt;NA&Amostra_Emigracao_[0-9]{2}.*?txt
