period;format;download_path;download_mode;path;inputs_folder;data_folder;missing_symbols;ft_obitos
200804;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200804.txt
200805;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200805.txt
200806;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200806.txt
200807;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200807.txt
200808;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200808.txt
200809;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200809.txt
200810;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200810.txt
200811;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200811.txt
200812;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200812.txt
200901;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200901.txt
200902;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200902.txt
200903;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200903.txt
200904;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200904.txt
200905;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200905.txt
200906;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200906.txt
200907;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200907.txt
200908;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200908.txt
200909;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200909.txt
200910;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200910.txt
200911;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200911.txt
200912;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200912.txt
201001;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201001.txt
201002;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201002.txt
201003;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201003.txt
201004;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201004.txt
201005;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201005.txt
201006;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201006.txt
201007;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201007.txt
201008;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201008.txt
201009;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201009.txt
201010;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201010.txt
201011;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201011.txt
201012;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201012.txt
201101;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201101.txt
201102;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201102.txt
201103;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201103.txt
201104;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201104.txt
201105;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201105.txt
201106;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201106.txt
201107;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201107.txt
201108;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201108.txt
201109;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201109.txt
201110;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201110.txt
201111;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201111.txt
201112;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201112.txt
201201;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201201.txt
201202;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201202.txt
201203;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201203.txt
201204;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201204.txt
